GeneName	GeneID	Chr	Start	Stop	X10007541	X10007542	X10007544	X10007547	X10007548	X10007549	X10007554	X10007556	X10007557	X10007558	X10007559	X10007561	X10007562	X10007563	X10007564	X10007565	X10007566	X10007567	X10007569	X10007578	X10007581	X10007583	X10007584	X10007587	X10007589	X10007590	X10007594	X10007595	X10007599	X10007602	X10007603	X10007605	X10007606	X10007607	X10007608	X10007610	X10007613	X10007615	X10007616
chr22-38_28785274-29006793.1	ENSG00000279978	chr22	28930201	29197572	5.933570305	5.36786535	3.65035818	5.501075502	5.215514952	5.335139837	6.780698631	3.967837504	5.273511238	5.860737925	5.026387245	6.758311239	6.881762449	6.586028981	6.613166221	4.825437936	5.763131619	6.09978768	5.407309838	5.973038067	6.492687099	4.676039235	5.723577448	5.609614261	5.764629903	5.822087762	4.943147022	5.637540234	6.308342056	3.110123952	5.499209966	5.619973037	4.363999594	5.502231488	3.97262013	5.282667017	5.721539207	4.700308782	6.126703875
LTF	ENSG00000012223	chr3	46435645	46485234	-1.507288816	1.530513441	-1.743032886	0.422716487	0.138895858	-1.065752743	1.424342325	1.172216127	-2.653573527	-0.953199821	-1.157095322	1.869297713	-0.063261588	-0.335561647	0.802066294	2.275346616	-0.385249944	-1.690798956	2.264268129	1.93175709	0.162336431	2.014245129	0.651386405	-0.039349593	2.32565428	-0.136268911	-0.69651594	0.304340019	-0.157868562	0.499576054	-0.094446011	0.726876997	2.598269011	2.580453613	0.754730539	0.846010634	-1.200258486	1.79507363	-0.119747296
UNC93A	ENSG00000112494	chr6	167271169	167316019	-1.819916407	-2.337044771	-2.702673855	-0.051206688	-1.89815532	-2.946711995	-2.323439307	-2.465061054	-0.67534522	-2.753938848	-3.333170941	-1.61127247	-2.11615393	-0.759658273	-1.768287092	-2.743066964	-0.345428641	-1.456387063	-3.995952013	-3.883772343	-0.714475946	-3.481935749	-3.310844128	-2.147104376	-3.002197101	-2.496307632	-2.413437792	-1.99293422	-2.743066964	-1.95785621	-0.79089536	-3.408575092	-3.291471563	-0.793558689	-2.904399498	-2.337044771	-1.445903273	-2.207259802	-0.766300539
IGHG4	ENSG00000211892	chr14	105624341	105626066	7.482710546	5.493265702	3.610384497	7.384453956	6.842949868	6.572677945	5.097247449	5.754988296	5.642366013	8.280741193	4.805342205	6.592008888	4.266512562	3.90571108	5.274031126	5.567746022	6.933388002	4.809928823	7.666228908	8.032484144	5.436750355	6.53060786	5.571617121	6.814125341	8.714165958	3.558441286	4.009352759	5.473741732	4.184504134	6.841129744	4.252381924	5.241309282	8.014960532	4.352558671	6.165113152	8.667815713	6.960961249	8.411911871	3.599813729
PLA2G2D	ENSG00000117215	chr1	20111939	20119566	0.727921479	2.280993056	-0.387131495	1.015853536	1.413644627	-0.267800874	2.05769963	1.963897644	2.325300298	0.438314406	-0.866360134	2.333026088	1.417477823	0.476753288	1.276928774	1.937650493	1.143338427	-0.259394102	2.057341518	1.416658719	0.592894988	2.218693729	-0.794935686	0.696408665	2.643605108	0.088327447	0.328055508	1.360790752	0.191930685	2.427624425	0.897807817	1.289875354	3.200289735	2.255054231	2.557973909	1.147434602	-0.15093199	2.537405423	0.2582139
NEFL	ENSG00000277586	chr8	24950955	24957110	-2.91698767	-1.671437819	-1.37366464	-0.613346717	-2.105998578	-1.067431194	-0.801022795	-0.212951438	-1.418182149	-1.910677506	-1.687689427	-1.800797197	-2.378589605	-2.207259802	-2.931754029	-0.098367807	-2.867855959	-1.408019778	-1.561225716	-0.144989608	-1.304351512	-2.441856703	-1.123040573	0.267378373	-1.961990619	-1.308814287	-1.008219626	-1.145702112	-0.532789296	-0.701503695	-2.797469701	-1.578511646	-0.858862624	-1.718215677	-1.011638727	-1.255991329	-2.100613454	-0.444446299	-2.224861507
RP11-148O21.4	ENSG00000255518	chr8	11556251	11558022	-0.410280443	0.725763439	-0.263165058	0.38084574	1.210790842	-1.750059814	0.566884616	0.683926084	0.614716645	-0.810827057	-2.441856703	2.031973338	-0.360125694	-0.647584532	0.086207833	0.942504174	-1.485558563	-1.704157823	1.898679935	0.660958241	0.110476702	1.251736021	-0.418664852	-0.581288082	0.909305658	-0.875477152	0.307060781	-0.248515883	0.022399138	1.026090153	-0.889307968	0.966089218	2.622708186	1.04582259	0.185782801	1.322881454	-0.215486464	1.017814946	-2.330183317
FCRLA	ENSG00000132185	chr1	161706972	161714352	0.079441625	1.5924925	-0.378293876	0.585607447	1.05131301	-0.708148703	1.831899184	1.48777734	1.012057744	-0.161385237	-1.405436171	2.782472178	0.046683018	0.391970748	0.860904126	1.825330455	0.607825169	-2.184752089	3.277056285	1.634748648	0.476142563	1.436798111	0.747220857	-0.228124786	1.855875062	-0.635365113	0.573727896	0.368319249	-0.423692571	1.93175709	0.289305949	1.087293182	2.593800016	2.027903925	0.611851802	1.37189338	-0.67412482	1.749761893	-0.575308575
PAX5	ENSG00000196092	chr9	36833275	37034185	-0.642750331	0.958318402	-1.526421119	-0.31078024	0.414116886	-3.310844128	0.807980857	1.11937109	0.383352623	-1.395527985	-2.616967894	2.259156496	-0.560295845	-0.767694235	0.848484631	1.196244727	-0.159622367	-3.609668397	2.773782781	1.08022783	-0.091193155	1.342437298	0.211225571	-2.931754029	1.289051411	-2.084718898	-1.164638292	-0.243113436	-1.418182149	1.19671142	-0.418664852	0.753661619	1.972850692	1.615617084	-0.131282575	0.995008719	-1.464299215	1.669500346	-2.110832057
VPREB3	ENSG00000128218	chr22	23752743	23754468	-0.362213463	2.702062419	0.75415797	1.515410372	1.6914842	-0.318572038	1.817683569	2.061036187	2.041622311	0.592327295	-2.563791579	3.768069305	1.096239312	0.571927497	2.199067677	2.436878054	1.624533004	-1.97511137	4.558819327	2.074866744	1.287570951	2.004614603	1.551212516	-0.026828636	2.47522131	0.157025864	1.650377526	0.836731291	0.351379857	2.86026706	0.791642481	2.619468603	3.765212335	2.733287149	1.30708778	2.046405345	-1.121150024	2.896188096	-0.484953009
BANK1	ENSG00000153064	chr4	101411286	102074812	0.439485126	1.887740148	-0.429949765	0.962713457	1.488571736	-1.182190126	1.843075009	2.146740455	1.58556761	0.011010474	-0.680460443	2.960504663	0.832470692	0.036525487	1.435126583	2.663219764	0.733827551	-2.207259802	3.746698777	1.771752872	0.801543198	1.99521412	1.264063772	-0.506958692	1.896461907	-0.47977785	0.642533804	0.86297358	-0.306186309	1.66591457	0.739173189	1.990769456	3.246018137	2.487734686	0.966089218	2.006430957	-0.199702022	2.281977935	-0.253023454
FCRL1	ENSG00000163534	chr1	157794403	157820105	-0.195418306	1.153494235	-1.800797197	0.27704992	0.249019466	-3.033590448	1.059146875	2.566605071	0.163707187	-1.459061103	-1.664904287	1.720274267	-0.506958692	-1.082571234	0.577014217	1.052265952	-0.307070452	-3.699090163	2.578225074	1.012567243	-0.126401689	0.968557235	0.669959041	-2.91698767	0.688835933	-2.126458222	0.231499611	0.260794058	-1.388164624	0.710220067	-0.237214161	1.398432193	2.335019269	1.068088954	0.139587168	1.146084715	-2.011948016	1.664688175	-1.315373852
CDH3	ENSG00000062038	chr16	68636189	68722616	-1.768287092	-0.157868562	-1.44053654	-0.162261894	-1.344942191	-2.702673855	-0.937155164	-0.52038297	-2.378589605	-1.433170921	-2.867855959	-0.535037191	-2.441856703	-1.075307399	-1.526421119	-0.730073418	-2.080006996	-0.853098358	-0.141548663	-2.100613454	-1.78267895	-0.588149224	-3.002197101	-1.63975093	-0.321241278	-2.931754029	-3.481935749	-2.305058248	-1.491002316	-1.293388568	-2.378589605	-1.166609229	-0.425839775	0.34433608	-0.594226162	-0.769114936	-1.071558033	-0.929241319	-1.768287092
C11orf21	ENSG00000110665	chr11	2295645	2303049	-0.567326321	-1.182190126	-1.293388568	-1.786083997	-0.451627101	-4.341318708	-0.33849008	-0.157868562	-1.238892458	-0.185056618	-1.786083997	-0.190262931	-1.532183692	-2.480426757	-2.330183317	-1.326560812	-2.35811477	-1.493734234	1.249027171	-1.608079938	-1.084343832	-0.224618306	-1.062169498	-0.820526914	-0.190262931	-1.443101757	-3.101571109	-1.78267895	-0.945074608	-0.394143317	-1.761029438	-0.1321117	-0.237214161	-1.053157693	-1.056682614	0.213273739	-1.168569321	-0.755350646	-2.173705597
FCER2	ENSG00000104921	chr19	7688758	7702146	-0.327014996	0.993994355	-0.839666438	0.060189202	-0.17526944	-0.215486464	1.003040523	2.117659198	0.073663664	-0.971472327	-2.231252666	1.848514074	-1.086045089	0.273824713	0.84748421	1.042098395	0.528773255	-2.480426757	3.208385347	1.09066621	0.085473616	0.958800307	-0.043233924	-1.89815532	0.77262434	-1.44053654	0.058027142	0.214634458	-1.815981556	0.832959412	-0.533931321	1.0527261	1.46302072	1.146084715	0.674300828	0.987926777	-1.344942191	1.642649893	-1.842509216
CD22	ENSG00000012124	chr19	35319261	35347355	0.777758389	2.139817142	-0.217408189	1.425184589	1.500278879	-0.69651594	2.351426561	3.190345285	1.768659255	0.120384617	-0.444446299	3.051448459	0.535089916	0.949386478	1.750138872	2.244251522	1.06386347	-0.43206791	3.917034206	2.330436517	0.721507132	2.399906587	1.028511987	0.724692194	2.505123913	-0.365221011	0.457804299	1.018737469	-0.08691888	2.610560576	1.216582155	2.273622361	3.316371508	2.959611237	1.381348899	2.395325798	-0.616972716	2.640155608	0.198276929
BLK	ENSG00000136573	chr8	11494001	11564604	-0.709505803	1.019221746	-0.390117279	0.260154216	1.2821807	-1.697751208	1.034789245	1.184515552	0.808508546	-0.304168761	-1.222367382	1.828028824	-0.394143317	-0.552261457	0.677474816	1.221951222	-0.512464401	-1.97077187	2.260882633	0.92323746	0.135398612	1.439294962	0.858436401	-0.711992563	1.179028707	-0.926044195	0.009573684	-0.144209432	0.074346166	1.033277898	-0.027548816	1.226812813	2.639243721	1.209048934	-0.128863318	1.000223606	-0.013624793	1.282610307	-1.44846755
MS4A1	ENSG00000156738	chr11	60455752	60470760	2.017953059	3.314062419	0.812699369	2.158100759	2.647129172	-0.4906015	3.385550587	4.056640064	2.856616419	0.951327248	-0.245972996	4.409093361	1.276455479	1.859334391	2.639243721	3.430239552	2.169614915	-2.371454867	5.321106243	3.441177354	1.806409886	3.295536685	2.406911903	0.566884616	3.433070634	0.153554637	1.920068563	2.359919634	1.114343058	3.51780347	1.801791352	3.663216705	4.788192924	3.802360122	2.232055819	3.228941148	-0.87851395	3.713963586	0.995008719
CR2	ENSG00000117322	chr1	207454230	207489895	0.590613172	3.101829258	-0.783976826	1.51330984	1.296499942	-1.10800479	2.673209422	3.316651756	2.14126053	-0.009743591	-1.086045089	3.602381293	0.573727896	1.283485896	1.832673759	3.736966071	1.271104843	-2.413437792	4.499865327	3.303034191	1.266659793	2.211309571	1.548393322	0.210486285	3.075048076	-0.058351618	0.026095528	1.630758276	0.054340699	2.809068594	1.065320801	2.351771926	3.363674395	3.711323449	0.732724272	2.50670914	-0.231926338	3.652451991	0.645829385
AC099668.5	ENSG00000259970	chr3	49684480	49684983	3.584691582	1.671512411	1.678368332	2.588022955	1.457447729	3.181230517	1.402601899	2.074499097	2.83788847	2.223595134	2.572790764	0.698572408	2.102670614	3.910477929	3.166384829	1.706836305	1.946695746	1.607321274	1.802925721	2.833614982	1.925382942	1.092073534	1.336440338	3.09359689	0.473256367	1.585987008	2.661980867	2.957777405	1.981141157	2.876378935	3.074740494	2.651213678	3.067101929	2.172819183	1.542984136	1.608169089	2.36292363	1.981141157	2.345545624
CLEC17A	ENSG00000187912	chr19	14583084	14611157	-1.17051691	0.12395247	-1.034099589	-0.217408189	-0.777193964	-2.465061054	0.507971467	1.451604984	0.484478267	-1.273891309	-0.79089536	1.764800466	-0.418664852	-1.240974436	-0.151761178	0.247697745	-0.240320669	-1.535199036	2.128712748	0.340612161	-0.426907197	0.850490919	0.126056196	-0.829143721	0.687218784	-1.291200445	-0.690016502	-0.381398737	-0.983410528	0.999751417	-0.714475946	1.324165158	1.558086519	1.468982841	-0.478776061	1.220182334	-1.953306907	1.38822337	-2.398488584
CR1	ENSG00000203710	chr1	207496147	207640647	-2.074889614	0.18713241	-1.614315271	-0.313843911	-0.448558439	-2.572282611	-0.549972754	0.479882446	-0.575308575	-1.704157823	-1.739721173	0.242204851	-1.051463912	-1.786083997	-0.015890079	0.903880433	-1.291200445	-2.831672393	1.86891648	0.161688585	-1.37609189	0.524780203	-0.842576209	-2.529202688	-0.08432202	-0.938646059	-1.543662721	-1.420738482	-2.254656886	-0.096824848	-0.864907412	-0.127995058	0.938599927	0.688835933	-1.013303588	-0.094446011	-1.944708069	0.758502795	-1.721783014
TLR10	ENSG00000174123	chr4	38772239	38782990	0.05295031	1.374423172	-0.53837537	0.375816971	0.802662226	-1.208354602	1.178576188	1.549571483	0.966089218	-0.148378289	-0.591720492	1.991561295	0.229393704	-0.139721196	0.923761263	1.69518229	-0.109781732	-2.292810202	3.015339585	1.262385324	0.692591876	1.743351834	0.741350804	-0.059144201	1.134169066	-0.62549288	0.23429482	0.38464644	-0.594226162	1.444362671	0.023889641	1.876930473	2.694495776	1.866540916	0.539134293	0.820807806	-1.587462765	1.790807592	-0.518101667
CD19	ENSG00000177455	chr16	28931939	28939346	0.645294338	1.560580752	-0.810827057	0.994471528	1.209923425	-0.813623028	1.880106529	2.71929809	1.413209417	-0.069084935	-0.641565708	2.730459341	0.571927497	0.287351872	1.460930551	2.085444195	0.745002953	-1.371391964	3.414140518	2.143435618	0.691512535	1.956127135	1.151665572	-0.523878968	1.6499794	-0.12217124	0.599640046	0.792702879	0.180221547	1.958348031	0.210486285	2.059220917	2.978133747	2.144834512	0.662524486	1.766679221	-0.360125694	2.258130164	-0.713259814
VWA5B1	ENSG00000158816	chr1	20290919	20354894	-1.019866845	-2.931754029	0.606799776	-2.904399498	-1.529451393	-3.249748052	-2.449525272	-0.805087716	-0.973016739	-2.831672393	-2.391893431	-1.464299215	-1.075307399	-0.966434524	-0.945074608	-3.310844128	-1.164638292	-0.519315283	-3.954219918	-3.226609307	-2.692829435	-3.883772343	-3.333170941	-3.918743664	-3.186879633	-3.53662068	-3.431460746	-0.989987762	-2.504672573	-2.563791579	-2.350963305	-2.190506582	-1.418182149	-4.078434137	-2.842839857	-1.882357706	-0.81913094	-3.049210326	-3.226609307
LAMA3	ENSG00000053747	chr18	23689443	23955066	4.296065312	3.813020313	5.940904769	3.815616805	5.252800759	5.835450754	4.434650099	5.95020318	4.479778191	3.961955469	5.74532007	4.760298185	3.630811165	3.826319893	4.213014874	5.543744406	4.320110368	5.112006276	5.348234114	5.047425665	4.545739933	4.609924825	5.416966957	4.783647917	4.436680989	5.561247529	4.870560168	6.146043607	4.73787348	5.587702128	3.415010866	5.689646638	4.099211811	4.425211278	6.215776232	4.028906222	5.906387862	6.188795088	3.754034953
MT1H	ENSG00000205358	chr16	56669814	56671129	5.016052264	5.057899882	5.164495025	3.431938411	4.808842845	3.507130709	5.358034331	3.966423944	5.755689331	5.66319562	1.21791921	2.413638516	6.342802207	5.337691239	5.334629839	4.085985588	4.254295774	4.520268225	4.107370313	5.614656467	4.636030528	1.590547672	4.137029114	5.846396984	4.853802548	3.80673348	5.553795258	5.401788292	5.571617121	6.066659442	6.633136284	6.091078008	5.492708901	2.623932068	2.99966141	4.454557138	5.551828861	4.349780791	4.801831971
SEC14L5	ENSG00000103184	chr16	4958317	5019158	0.340612161	0.656996108	0.62252791	0.359020862	0.132633689	0.469641686	0.724692194	-0.069941658	0.400661721	0.365899095	-0.048794141	0.057324027	0.993994355	1.114806696	1.672743393	-0.289067054	-0.561625908	0.714077724	0.171968601	0.899801537	1.141085977	-0.059923969	-0.222028898	-0.27608485	0.136072361	0.444299884	1.436388638	0.706062201	-0.308895957	-0.040169054	0.582789464	-0.348295519	0.295363915	0.131969111	-0.456996493	0.476753288	-0.796267019	0.698572408	0.678036235
RASSF2	ENSG00000101265	chr20	4780023	4823645	3.8147421	3.775082053	3.631912567	3.658925331	3.453440569	3.856405154	3.850218033	3.77972859	4.71616985	3.543344448	3.969880227	4.216747756	4.117086728	3.125190373	4.148941139	3.617490995	3.860194755	2.50670914	4.620183628	3.237563598	3.789091496	3.803491579	3.343851222	4.403978805	3.763743822	2.94875727	2.680634781	4.258325861	3.667246272	3.593954382	3.27393934	3.580680801	4.870560168	4.306302622	5.123396044	3.617490995	3.556162627	4.297928933	2.762405219
AMACR	ENSG00000242110	chr5	33986178	34008108	4.275636905	4.339899591	4.80109036	3.984252019	4.314376766	4.313752966	3.859050004	4.113089011	4.440023349	4.284713161	4.56360212	4.541614501	4.740857886	4.576481987	4.598460621	4.87331188	4.172536393	4.35851657	3.976761128	5.472023521	4.033145015	5.317436547	4.344745196	4.101664538	4.511306276	4.299529772	5.687494442	4.56119504	4.619136983	4.003363937	4.868447545	4.394763344	4.059093819	4.378651218	3.835389157	4.607070988	3.223719584	4.393184749	4.88441342
G0S2	ENSG00000123689	chr1	209675420	209676388	2.597618187	3.53142193	1.660206241	3.05793391	2.816749403	1.206779357	1.757282924	2.822830557	4.246418841	2.102306233	1.527124969	2.54033645	3.944482989	3.703430591	2.016047271	2.468996044	2.642077697	1.816098446	2.696388875	1.579500155	2.45809259	2.403622236	2.767921968	3.707832989	2.473646036	2.041622311	2.519486098	2.71929809	4.088705659	3.006453744	3.210369684	2.493954407	3.811474361	3.18564078	2.427624425	3.04820164	2.809978074	2.673523526	3.560461571
SLC38A4	ENSG00000139209	chr12	46764761	46832408	-1.03586017	-2.141975616	0.917851409	-2.797469701	-2.224861507	-0.759658273	-1.674661752	-1.596364201	-1.186193737	-0.792255102	0.403618738	-0.19194347	-1.295542487	-2.095236221	1.442217157	0.263483635	-2.261284239	-0.993182472	1.374423172	0.391385406	-0.292737949	0.030671449	1.129085453	-1.423183821	-2.04996435	-0.361127073	0.748230421	0.281509637	-0.152648226	-2.786989326	-0.318572038	-0.857463951	-2.683581595	-1.630116287	-1.936171745	-2.224861507	-0.228124786	-0.013624793	-1.567227811
GABRA2	ENSG00000151834	chr4	46248427	46475230	1.329300587	0.522997029	1.818107199	0.930721938	0.150725074	0.420293057	0.43478326	0.060189202	0.615252088	0.757966817	-0.923022886	0.409115039	0.410317893	1.988503375	-0.512464401	2.294902154	0.229393704	1.583571339	1.26534946	2.098626755	1.118020081	1.2720096	2.260511872	0.563398366	1.449429636	1.124978367	2.396665126	-0.040169054	0.429361486	2.908112253	2.15208582	-0.245972996	-0.890958109	0.782886797	-0.365221011	1.676310184	0.493799295	2.567259259	1.269268763
LINC01504	ENSG00000225434	chr9	72305430	72343210	-0.592934789	0.435405101	2.837279746	1.409037656	1.233165679	0.553970556	0.265425027	1.716403916	1.778704702	1.693943717	-0.111441164	0.507971467	1.781942072	0.816661372	1.25845375	-0.044757228	1.000729937	1.254915333	0.979923598	-0.155252301	-0.701503695	0.849980601	-0.131282575	-0.698986978	-0.038476477	0.407311236	1.687922238	-0.386180649	0.528773255	-0.90168286	1.224683552	-0.069084935	-0.277891834	-0.501434453	-0.79089536	-0.219443168	-0.131282575	1.087293182	1.737850783
NOL4	ENSG00000101746	chr18	33851100	34224952	-0.848574773	-1.537858105	-0.211153193	-1.333088289	-1.10800479	-1.410747099	-0.68329338	-0.786713998	-2.398488584	-1.174462307	-2.298964086	-1.410747099	-1.423183821	-1.046506859	-0.513512592	-2.891282878	-2.095236221	-0.613346717	-2.261284239	-1.212216858	-0.785316535	-0.889307968	-2.867855959	-2.126458222	-2.616967894	-1.453910678	-0.202418461	-1.037493587	-3.016583338	-1.532183692	-0.989987762	-2.52072117	-2.512183564	-1.546922649	-2.141975616	-0.585908033	-0.587041028	-1.529451393	-0.691349066
KLK11	ENSG00000167757	chr19	51022216	51028039	-2.427913385	0.133346351	-1.73595703	-0.101511139	-0.425839775	-3.408575092	-1.121150024	-0.354214188	-1.232822033	-1.827217309	-2.732417603	-0.594226162	-2.243036554	-2.21317362	-3.153524215	-1.697751208	-0.926044195	0.190589983	-3.291471563	-0.90017636	-1.408019778	-0.38234738	-1.711144239	-3.481935749	-1.711144239	0.246378411	-1.764591211	-1.317480964	-4.039141616	-0.087757244	-3.268464205	-3.847595116	-3.101571109	-0.983410528	-2.406342001	-1.039408992	-0.813623028	-2.797469701	-0.654898786
LINC01272	ENSG00000224397	chr20	50267486	50279795	-3.609668397	-1.230651858	-0.833516347	0.454007589	-0.496013499	-0.246805966	-1.746485792	-1.73595703	0.216615142	-1.532183692	-2.775450229	-1.280528487	-1.764591211	-2.173705597	-0.869457084	-0.973016739	-0.150104184	-0.093592706	-1.838420556	-1.90209655	-2.365011223	0.00034589	-2.298964086	-0.31566823	-0.893963544	-1.743032886	-1.984237802	0.020779715	-3.431460746	0.273824713	-0.657859542	-2.58073064	0.182276527	-0.461420584	0.339407431	-0.966434524	-0.627846173	-0.303249903	0.370657621
RNF157-AS1	ENSG00000267128	chr17	76140556	76154650	1.761298121	1.799449855	1.628633158	1.951126514	0.895795597	0.94007542	0.690433901	-0.041688558	1.907499069	1.773309758	2.063214076	0.500289024	1.576524071	1.856647795	2.04973419	1.030400032	2.044531836	2.150615828	1.475361739	0.068340729	0.895795597	0.876716126	1.81963158	1.633177635	2.562787129	1.813854462	-0.069084935	2.156331229	2.962591752	1.386128826	1.986652429	2.11487313	1.459164101	-0.595370704	1.359512242	1.653700817	0.420293057	-0.012119005	2.488395941
